date,average_difficulty,tx_count,tx_volume,heuristical_volume,median_tx_value,active_addresses,fees,median_fee,payment_count,reward,block_size,block_count
2014-05-20,2256.800278,1943,12613364505903,9909592581336,500000000,4467,286699006,100000,2163,402786699006,1361899,550
2014-05-21,2311.18516687,2183,21870079337037,17674463303548,519567969,5171,320338225,100000,2469,392220338225,1598686,549
2014-05-22,2775.56930554,3015,47712804845625,38102594590149,523076877,7138,664993866,100000,3346,336464993866,2769094,550
2014-05-23,3465.65030471,3690,57043064046086,45743008988858,500000000,8318,876899744,100000,4170,294776899744,2898831,550
2014-05-24,4009.22318156,2858,75038975829065,50736079574429,473038030,6673,540211669,100000,2934,277440211669,2642677,551
2014-05-25,3057.16294713,2644,68677313665546,50281852096877,400706170,6274,478188974,100000,2863,310578188974,1841217,547
2014-05-26,2419.47074387,3589,112372336727614,75194743641912,449909902,9343,538410388,100000,3490,391638410388,3042709,536
2014-05-27,3219.02382949,2925,40450408131865,37220502214173,456645484,7503,654771637,100000,3576,343354771637,2293487,565
2014-05-28,5238.36114242,2595,56014144427523,43641380226066,469828400,6237,457772191,100000,2881,272957772191,1780660,537
2014-05-29,2971.36819004,2523,30055591571382,24716314375932,444990990,5935,537861051,100000,2949,322537861051,1816107,545
2014-05-30,3294.54882782,2850,25264376130077,19450927015915,446260890,6513,454273713,100000,3591,309154273713,2035543,560
2014-05-31,4269.18735886,2101,11296534594884,9471123333057,364114395,4670,312058377,100000,2539,274312058377,1293069,545
2014-06-01,4991.68631615,2216,19606096152029,14343005304681,388399199,4833,282957983,100000,2703,277582957983,1646014,551
2014-06-02,6098.38657748,2640,72760318989894,50239103894413,403617265,5586,463853054,100000,2670,274963853054,2564257,549
2014-06-03,4846.19351777,2588,32162782719814,21113053592713,305376461,6054,490792688,100000,3409,271990792688,2306324,543
2014-06-04,3628.86801893,2305,16186602720497,15126586027506,343898872,6241,508758136,100000,3092,286708758136,2466294,554
2014-06-05,3623.48094587,2334,28864142806254,14247897909042,400032970,8655,495501256,100000,3170,281495501256,2264047,546
2014-06-06,3732.51849234,2193,73775274376181,27129165213510,400931212,4666,398726194,100000,2698,281098726194,1435829,546
2014-06-07,3902.08964815,1719,6586469319099,5496985195730,400742047,3791,252385310,100000,2230,278752385310,1110855,553
2014-06-08,3818.88957333,1961,15949978779305,11932353403027,385505000,4366,404994266,100000,2511,275704994266,1859374,545
2014-06-09,3383.63389499,1945,17019272703383,12992339198808,365577157,4220,326213307,100000,2602,287726213307,1378575,553
2014-06-10,3657.6468364,2001,9358012185267,6929477193792,356702768,4283,269895919,100000,2267,283369895919,1212851,550
2014-06-11,3593.77546451,1951,12926946158119,11828703964051,248450000,4176,292688675,100000,2289,284792688675,1493773,548
2014-06-12,3456.11623864,2121,73527395088628,28858523194571,216580064,4315,277869405,100000,2630,291277869405,1219779,549
2014-06-13,3450.73884631,1867,27472348317843,18773390195697,278792672,3974,236846862,100000,2415,282136846862,1246810,551
2014-06-14,3534.54308089,1477,27433373167190,21822270049547,400548205,3307,178740037,100000,1982,280578740037,1091650,546
2014-06-15,3242.21137536,1422,10844330576810,7729540566388,399463965,3276,181317498,100000,1694,300081317498,1201807,550
2014-06-16,3545.0944363,1430,33021349730539,27336611385322,404942837,3478,182350160,100000,2038,279982350160,1137485,546
2014-06-17,3412.83720814,1710,42951481488063,26099332486779,395472522,3767,277828564,100000,2427,284277828564,1645163,552
2014-06-18,3438.22932727,1747,76014396435299,47434042016636,450055523,3967,290881173,100000,2067,280690881173,1702966,544
2014-06-19,3732.23762025,1758,40316387939949,30627371238330,405343257,3861,308420244,100000,2345,286108420244,1855636,556
2014-06-20,3750.26636303,2060,77164789658193,48798826498150,500000000,4395,344839121,100000,2372,283344839121,1946805,547
2014-06-21,3174.67127462,1709,20767558374224,17974774378303,446299167,3695,271664884,100000,2019,289071664884,1312618,547
2014-06-22,2926.77879724,1662,12735669397087,12325267821642,388076794,3664,354370094,100000,2386,315354370094,1310222,551
2014-06-23,3729.41402036,1540,26248649920759,25442911565948,399716812,3593,214822384,100000,2597,288114822384,1170301,553
2014-06-24,4348.68534953,1388,5090087583874,4915952268372,418087799,3164,167913886,100000,2209,274967913886,971429,549
2014-06-25,4207.03585553,1410,6570725195986,5412782999994,434328670,3156,161971135,100000,1993,274661971135,897250,548
2014-06-26,3992.06271224,1651,220379217357767,44551534995850,441848181,3916,236400926,100000,2179,277036400926,1660211,552
2014-06-27,4113.80038837,1298,17549645295256,14911332328514,389796811,3330,176999790,100000,1873,277076999790,1078724,552
2014-06-28,4483.30706011,1167,17416624892141,8878350565479,400000000,2826,172270360,100000,1599,274672270360,956089,549
2014-06-29,4743.35044527,1220,16520857422875,11761123162793,400000000,3053,168174826,100000,1662,274368174826,1025032,546
2014-06-30,5245.18273091,1515,71066403752611,14727498607291,500000000,3962,338876621,100000,2455,276838876621,1446875,553
2014-07-01,5481.922451,1449,46458690246787,9079699455862,499900000,3794,332465451,100000,2827,275332465451,1337279,550
2014-07-02,5290.44792805,1473,86490705887427,28992434463905,500000000,3584,253184612,100000,2378,275253184612,971927,550
2014-07-03,4339.15964469,1324,70389246857209,30308595686611,500000000,3242,222388566,100000,1883,271322388565,974904,542
2014-07-04,4199.04631075,1143,31031259717944,18040612366661,400000000,2826,128929011,100000,1638,279028929011,863958,555
2014-07-05,3607.34422554,1190,31246227155474,19800418837400,400000000,2814,193519265,100000,1493,282093519265,853696,547
2014-07-06,3340.83171191,1309,28854606240693,15033142801371,400000000,3374,201020850,100000,2831,293101020850,984062,553
2014-07-07,3545.54810385,1281,21310701720968,13782143835623,400000000,3290,158070993,100000,2018,295358070993,980643,547
2014-07-08,4102.91447062,1337,26751213176289,16949370159478,400000000,3294,175098271,100000,2254,275875098271,889053,548
2014-07-09,3208.72011533,1191,11295204693870,8850459537525,389807386,3040,150128611,100000,2384,293050128611,816275,549
2014-07-10,2898.34096239,1279,12035925178093,9177127963785,380285877,3568,203774645,100000,2663,321903774645,1300919,550
2014-07-11,3129.53837674,1130,11516013683890,10611432170776,379394853,3145,173034215,100000,2839,292273034215,883847,549
2014-07-12,3167.30349531,1188,5022949698760,4680495997082,375502972,3089,129918351,100000,2654,300629918351,851862,547
2014-07-13,3012.35966712,1222,14742688330738,13658179975799,389778335,3527,243401226,100000,2399,299543401225,1028912,549
